title,label
학생 할인되나요?,24
콘센트가 있는 자리도 있나요?,59
케이크는 뭐가 맛있나요?,18
현금영수증 되나요?,8
아이스 아메리카노 샷 추가 가능한가요?,68
테이크아웃이랑 홀에서 먹는 거랑 가격이 다른가요?,11
아이스 아메리카노 샷 추가해서 테이크아웃 할게요,24
영수증은 버려주세요,26
넣지 말아 주세요,69
아이스 카페모카와 허니브레드 주세요,0
진하게 해주세요,0
네 많이 얹어주세요,32
먹고 갈 거예요,0
네 그렇게 주세요,26
아이스 캐러멜 마시야도 한 잔 얼마인가요?,0
휘핑크림 추가되나요?,24
여기 디저트 종류는 어떤 게 인기인가요?,40
치즈베이글도 같이 주세요,8
네 결제는 카카오 파이로 해도 되나요?,0
카페모카 주문돼요?,31
네 커피 맛 별로 안 나게 해주세요,42
적립 안 하고 포인트 사용할게요,0
주차 할인되나요?,4
냅킨은 어디 있어요?,59
아메리카노 하나요,54
네 추워서요,0
아뇨 테이크아웃이요,0
여기요,26
아뇨 필요 없어요,4
주문받아 주실 수 있나요?,0
아이스 아메리카노 얼음 빼고 가능한가요?,42
얼음을 평상시보다 반만 넣어주실 수 있나요?,11
얼음 반만 넣은 아메리카노 2잔 주시겠어요?,52
캐리어에 담아서 가져갈게요,0
아메리카노 한 잔이랑 초코 라테 한잔 주세요,26
아메리카노는 아이스로  초코 라테는 아이가 먹을 거라 미지근하게 해주세요,0
아니요 캐리어에 담아주세요,0
네 기다릴게요,26
냅킨 조금 더 주세요,0
새로 나온 메뉴가 어떤 거였죠?,70
지금 주문 가능한가요?,71
그냥 아이스 아메리카노로 할게요,42
마시고 갈 거예요,0
포인트 적립은 번호로 입력해도 되나요?,26
이 기프티콘으로 다른 메뉴 변경 가능한가요?,2
로즈 재스민 티 따뜻한 거 하나하고요 적립도 할게요,43
아뇨 테이크아웃 할 거예요,0
네,26
현금영수증도 부탁드려요,4
아메리카노 한 잔 주세요,3
아이스로 주세요,0
혹시 아메리카노 조금만 연하게 타주실 수 있나요?,0
네 그리고 케이크 종류는 뭐가 있나요?,19
치즈케이크도 하나 주세요,11
아메리카노 하나 주세요,0
케이크는 어떤 게 잘 나가나요,0
치즈케이크랑 포크 2개 주실 수 있나요,8
현금영수증 해주세요,0
혹시 테이크아웃 잔에 받을 수 있나요,3
라테 한 잔이요,26
신맛이 없는 걸로 주세요,0
적립해주세요,0
초코케이크도 주세요,2
라테만 주세요,0
카페모카 한 잔 주세요,0
아니요 테이크아웃 할게요,0
휘핑크림은 빼주세요,26
네 현금영수증 해주세요,0
네 알겠습니다,3
주차는 가게 앞에도 해도 되나요?,3
에스프레소는 얼마인가요?,57
토마토주스 설탕 빼고 한 잔 주세요,24
마감시간은 언제인가요?,0
사장님은 어디 가셨나요?,33
캐러멜 프라푸치노 겨울에도 되나요?,72
자바칩 추가하면 얼마 더 내야 돼요?,42
더블 샷도 추가 비용 있나요?,24
치즈케이크는 어떤 종류가 있나요?,24
그럼 캐러멜 프라푸치노 벤티 하나랑 블루베리 치즈케이크 하나 주세요,11
에스프레소 한 잔 있어요?,0
크기가 어떻게 있나요?,0
양이 제일 많은 것으로 주세요,25
그리고 차가운 것으로 주세요,0
그러면 아이스 아메리카노 가장 큰 사이즈로 주세요,0
아이스 아메리카노 샷 추가 가능한가요?,0
잠시만요 한 번 여쭤볼게요,0
샷 추가 말고 기본으로 주세요 샷 추가 안 하시겠대요,0
이 카드로 할게요,19
아니요 버려주세요,4
여기 커피 중 어떤 게 맛있나요?,4
아이스 아메리카노 한잔 주세요 아 그리고 샷 하나 추가요,8
그란데요,0
치즈케이크 하나 얼마에요?,0
그걸로 주세요,24
캐러멜마키아토 하나 주실래요?,0
그럼 그냥 아메리카노 주세요,0
아니요 테이크 아웃할게요,0
카드 계산할게요,26
네 쿠폰 종이 4개 찍었어요,4
카페에서 제일 많이 나가는 메뉴가 뭐예요?,4
디저트 중에 제일 잘나가는 건 뭐예요?,8
세트 메뉴 있나요?,8
그럼 세트메뉴로 하나 주세요,11
여기요 현금영수증 해주세요,0
미팅룸이 마련되어 있나요?,3
단체가 앉을 테이블은 있나요?,73
브런치류도 있나요?,73
샌드위치 여섯 개 준비해주세요,11
아메리카노도 여섯 잔 부탁드립니다,11
지금 영업하시나요?,0
아이스 아메리카노 하나 주세요,33
아니요 가지고 갈 거예요,0
영수증도 주세요,26
얼마나 걸리나요?,47
커피 주세요?,27
아메리카노 주세요,0
아이스 아메리카노요,0
네,0
카드로 해 주세요,0
라테는 어떤 종류가 있나요?,4
바닐라 라테에는 뭐가 들어가나요?,11
바닐라 라테는 얼마인가요?,11
주문하면 얼마나 걸리나요?,24
테이크아웃하면 할인되나요?,27
커피 메뉴 말고는 없나요?,59
제일 잘나가는 디저트는 어떤 건가요?,11
그럼 초코 케이크랑 가장 잘 어울리는 음료는 어떤 건가요?,8
그러면 얼 그레이 티 한 잔과 초코케이크 한 조각 주세요,8
아니요 카드로 결제할게요,0
지금 초콜릿 프라푸치노 되나요?,4
톨 사이즈요,42
네 올려주세요,0
네 없어요,0
네 있어요 하나카드요,42
카페라테 한 잔이요,4
아이스로 주세요,0
네 잠시만요,0
핸드폰 번호로 부르겠습니다,4
010 0000 0000입니다,74
메뉴판 보여주실 수 있나요?,74
아이스 라테 우유 말고 두유로 변경 가능한가요?,75
변경하면 얼마죠?,44
텀블러에 담아주세요,24
쿠폰 찍어주세요,1
아메리카노 한 잔 주세요,2
네 맞아요,0
포인트 사용할 수 있나요?,0
카드 포인트로 사용해주세요,5
감사합니다,9
라테는 얼마에요?,9
라테 두 잔 주세요,24
아니요 시원한 걸로 주세요,0
현금 영수증 가능하죠?,0
매장에 사 마시고 가도 되죠?,3
아이스 아메리카노 샷 몇 개 들어가나요?,49
샷 추가 시 얼마인가요?,11
아이스 아메리카노 샷 추가 하나랑 아이스 초코 라테 한 잔 주세요,24
휘핑크림 빼주세요,0
먹고 갈게요,0
아이스 아메리카도 디카페인 가능한가요?,49
잠시 앉아있다 바로 나갈 건데 테이크아웃으로 해주실 수 있나요?,11
할인되는 카드도 있나요?,38
충천을 하고 싶은데 가능한가요?,59
산미가 많이 들어간 커피는 뭐가 있을까요?,76
혹시 배달되나요?,8
많이 주문할 건데 괜찮을까요?,17
아이스커피 6잔이랑 자몽에이드 6잔 그리고 머핀 12개요,17
그러면 5시에 가져갈 수 있도록 준비해주실 수는 있나요?,17
그럼 이따 5시에 다시 오면 될까요?,42
아이스 카페라테 한 잔이요,38
텀블러에 담아 갈게요,0
텀블러 이용 시 할인 얼마나 되죠,1
카드로 계산할게요,30
지금까지 적립금 알 수 있을까요,4
카푸치노 아이스로 되나요?,2
어린이가 먹을 수 있는 음료 있나요?,42
빵이나 샌드위치 메뉴가 있나요?,8
흡연할 수 있는 공간이 있나요?,11
카푸치노는 이 쿠폰으로 계산해도 되나요?,45
아이스 아메리카노 레귤러 사이즈 얼마인가요?,5
얼음은 갈아서 넣어주실 수 있나요?,24
포인트카드 적립되나요?,77
카드로 계산할게요,2
시럽은 어디에 있나요?,4
아메리카노 한잔 주세요,39
작은 사이즈로 부탁드려요,0
여기 이 쿠키는 단맛이 강한가요?,0
그럼 초코 쿠키도 1봉지 부탁드려요,11
여기 기프트 카드로 결제 부탁해요,0
아메리카노 4000원 하나 주문하겠습니다,9
아이스로 부탁합니다,0
사이즈는 라지로 부탁드리겠습니다,0
그럼 계산 부탁드리겠습니다,28
혹시 쿠폰 할인도 가능한가요?,4
아이스 아메리카노 하나 주세요,5
사이즈 종류 좀 말해주세요,0
그란데로 부탁드려요,25
얼마나 걸릴까요?,28
주차 증도 주세요,27
스무디 종류 있나요?,78
딸기맛은 얼마죠?,11
그리고 휘핑해주세요,24
저지방 휘핑으로 해주세요,40
아 그리고 오늘 영업은 몇 시까지 하나요?,0
지금 플랫 화이트 되나요?,33
그러면 아메리카노는 되나요?,42
원두는 브라질산인가요?,42
조금 더 쓴맛이 나는 것은 없나요?,11
그러면 아메리카노 라지 사이즈 하나 주세요,11
아메리카노 하나 주세요,0
라지 사이즈로 주세요,0
아니요 포장해주세요,0
네 만들어주세요,26
생크림 케이크는 얼마인가요?,4
음료가 언제 나오나요?,24
쿠폰 몇 장 모아야 한잔 무료인가요?,27
몇 시부터 마감하시죠?,2
콘센트가 있는 자리는 어디입니까?,33
아이스 아메리카노 3잔에 얼마에요?,18
주문 가능한가요?,24
아메리카노 한 잔에 얼마죠?,42
아이스도 똑같은가요?,24
샷 추가 가능한가요?,24
아이스 아메리카노 한 잔에 샷 추가해주시고 현금영수증도 부탁드립니다,19
미숫가루 되나요?,3
사이즈업하면 얼마죠?,42
그럼 미숫가루 사이즈업 2잔 주문할게요,24
테이크아웃 할 거예요,0
치즈케이크 한 조각도 추가할게요,26
자바칩 프라푸치노 주세요,0
어떤 사이즈가 있나요?,0
그란데 사이즈로 부탁드립니다,25
네 있습니다,28
음료는 언제 나오나요?,4
기프티콘 사용은 어떻게 하면 되나요?,27
그럼 아이스 아메리카노랑 치즈케이크 주세요,5
추가요금 얼마나 내면 되나요?,0
카드로 결제할게요,24
쿠폰 적립되나요?,4
행사 중인 메뉴 있나요?,2
아메리카노 아이스로 가능한가요?,11
커피 대신 추가 금액 내면 다른 음료도 가능한가요?,56
샌드위치 따뜻하게 가능한가요?,56
카카오 파이로 결제 가능한가요?,7
여기 대표 메뉴가 무엇인가요?,31
토피넛라떼에도 커피가 들어가나요?,8
커피는 몇 샷 들어가나요?,11
혹시 커피를 좀 연하게 타주실 수 있나요?,11
가격은 얼마인가요?,19
아메리카노 한 잔 주세요,24
네 대신 얼음 두 조각만 넣어주세요,0
케이크는 뭐가 맛있나요?,52
많이 달지 않나요?,8
초코케이크도 같이 주세요,11
아이스 아메리카노 한 잔 샷 추가해서 주세요,0
네 추가해주세요,0
네 그렇게 해주세요,40
아 저 갖고 갈 거라 테이크아웃잔에 주세요,19
카카오 파이로 결제할게요,26
혹시 찬물이 따로 있나요?,31
물이 다 떨어졌는데요?,66
얼음도 넣어주세요,66
주문해도 될까요?,79
토피넛 라테 따뜻하게 하나요,42
아메리카노 하나 주세요,0
라지로 주세요,0
따뜻한 아메리카노요,28
4100원이면 맥스 사이즈로 주세요,0
5000원 드릴게요 거슬러 주세요,28
블랙 티 되나요?,4
얼그레이로 부탁드려요,42
네 따뜻한 걸로 주세요,42
네 그렇게 해주세요,42
베이글도 하나 데워주세요,26
바닐라 라테 주세요,0
그란데 사이즈로 부탁드릴게요,0
네 잠시만요 핸드폰 좀 꺼내겠습니다,0
네 포인트 적립하겠습니다,4
혹시 음료는 몇 분 뒤에 나오나요?,4
아메리카노 한 잔 주시겠어요?,27
아이스로 주세요,0
톨 제일 작은 사이즈인가요?,0
그란데 사이즈로 주세요,25
네 개인 텀블러에 부탁드립니다,28
주문 가능한가요?,1
아인슈페너는 무엇인가요?,42
아이스도 될까요?,11
케이크도 함께 주문 가능한가요?,42
초코 쇼콜라티에 블랙베리 무스 케이크는 뭔가요?,42
자바칩 프라푸치노 한 잔 주시겠어요?,11
kt 멤버십 있으면 사이즈업 가능한가요?,0
휘핑 추가도 할게요,28
네 추가할게요,40
멤버십 적립도 같이 할게요,40
에스프레소 가능한가요?,2
여기 원두는 어떤 걸 쓰나요?,42
와이파이 사용 가능한가요?,11
화장실이 어디죠?,15
그럼 에스프레소 한 잔 부탁드립니다,10
원두 선택할 수 있나요?,0
아이스 아메리카노 기본 몇 샷 들어가나요?,11
아이스 아메리카노와 따뜻한 아메리카노 가격 차이 있나요?,11
한 잔에 얼마인가요?,24
8잔 지금 가능한가요?,24
아이스 아메리카노 작은 걸로 하나 주세요,42
아 쿠키도 하나 같이 계산해주세요,0
오트밀 쿠키로 주세요,0
네 얼마인가요?,0
카드로 계산할게요,24
카페라테 샷 추가되나요?,4
기본 투 샷인가요?,19
카페라테 샷 추가해서 주세요,11
테이크아웃입니다,0
그냥 결제해주세요,26
아포가토 주문 가능한가요?,4
그럼 아메리카노 하나 주세요,42
통신사 카드 할인되나요?,0
할인 부탁드립니다,59
자리에서 기다리면 되나요?,13
티 주세요,27
허브티 어떤 게 있어요?,0
캐머마일 주세요,11
차가운 걸로 주세요,0
얼마에요?,0
라테 한 잔 얼마에요?,24
라테 한 잔에 샷이 몇 개 들어가나요?,24
라테 위에 바닐라 아이스크림 올리면 얼마 추가되나요?,11
케이크는 뭐가 제일 잘나가요?,24
제 텀블러 사용하면 텀블러 할인되죠?,8
아메리카노 주세요,30
아니요 아이스로요,0
기본 2샷인가요?,0
그럼 샷 추가해주세요,11
여기요,19
아메리카노 하나요,4
아뇨 핫으로요,0
테이크아웃이요,0
카드 여기요,26
네 감사해요,4
아이스 음료도 사이즈업 가능한가요?,4
화이트초콜릿 모카 아이스요,28
그럼 그냥 보통 사이즈 주시고 거기에 얼음 좀 많이 해서 주세요,11
맞습니다,52
포인트 적립해주세요,0
아메리카노 한 잔 주세요,2
아니요 아이스로 주세요,0
샷 추가는 얼마인가요?,0
그럼 샷 추가해주세요,24
없습니다,19
바닐라 라테 주문 가능한가요?,19
그럼 바닐라 라테랑 블루베리 크림 와플 하나 주세요,42
네 올려주세요,0
반으로 잘라주세요,0
네 현금영수증 해주세요,0
아메리카노 샷 추가해서 주세요,3
아이스 아메리카노로 주세요,0
얼마예요?,0
카드 결제할게요,24
쿠폰도 찍어주세요,4
아이스 아메리카노 두 잔 주세요,2
할인되는 카드나 적립 카드 있나요?,0
그럼 하나는 사이즈 업해주세요,59
국민카드는 없네요,28
여기 있습니다,28
초코 라테 되나요?,28
아이가 마실 거라 얼음은 반만 넣어 주세요,42
아이는 조금 먹으니까 괜찮아요,52
가지고 갈 거예요,52
저 화장실에 잠시 다녀올 테니 한쪽에 놔주세요,26
오늘의 커피는 어떤 건가요?,72
숏 되나요,11
기다리겠습니다,42
저기 있는 아이스크림은 뭐지요?,0
일행이 있는데 2개 가져가도 되나요?,11
아이스 아메리카노 한 잔 얼만가요?,80
사이즈 업 가능한가요?,24
얼음은 각 얼음이랑 갈린 얼음 중에 고를 수 있나요?,28
샷 추가도 추가 비용 발생하죠?,79
네 현금영수증 해주세요,24
딸기 셔벗 되나요?,3
그럼 주문 가능한 셔벗이 있을까요?,42
그럼 팥빙수도 불가능한가요?,42
빙수에 얼음은 조금만 넣어주실 수 있나요?,42
얼음은 기존보다 조금만 적게 주시겠어요?,52
아메리카노 하나요,52
네 따뜻한 걸로 주세요,0
제일 작은 사이즈로 주세요,0
네 해주세요,0
네 눌렀습니다,4
인기 있는 메뉴가 무엇인가요?,4
그걸로 주시고 카드 가능하죠?,8
통신사 멤버십 할인 가능한가요?,53
그럼 멤버십 할인해주세요,59
도장 쿠폰은 없어졌나요?,13
아메리카노 디카페인 있나요?,2
가격은 얼마인가요?,11
카카오페이 되나요?,24
그럼 그냥 현금으로 할게요,31
네 해주세요,4
아메리카노 한 잔 주세요,3
음료에 시럽 빼주실 수 있나요?,0
사이즈 업 가능한가요?,39
음료에 이물질이 들어가 있어요,28
몇 시까지 영업하나요?,81
인기 있는 메뉴가 뭔가요?,33
단맛이 강한 편인가요?,8
그럼 많이 달지 않게 부탁드릴게요,11
아니요 따뜻하게 부탁드릴게요,0
혹시 카페 쿠폰 주시나요?,0
아이스 아메리카노 1잔 딸기 스무디 1잔 주세요,2
그럼 아이스 아메리카노 2잔 주세요,0
여기 있습니다,0
감사합니다,4
아니요 가지고 갑니다,4
이 카페는 몇 시까지 영업하나요?,26
그럼 아직 주문 가능한가요?,33
그럼 아메리카노 한 잔하고 핫 샌드위치 한 개 주세요,42
네 괜찮습니다,0
커피 먼저 받을 수 있을까요,0
아이스 아메리카노 두 잔이랑 치즈케이크 할게요,72
이 쿠폰 결제하려고 하는데 그러면 결제가 안 되나요?,0
아무거나 다 되나요?,5
더 싸면요?,43
당근 케이크 할게요,43
주문해도 될까요?,0
카페라테 주세요,42
아이스로 주세요,11
네 많이 올려주세요,42
디카페인 원두로 주문 가능할까요?,0
카페라테 한잔 주세요,60
어떤 사이즈가 있나요?,0
라지 사이즈로 주세요,25
치즈케이크 한 조각도 추가해 주세요,28
현금 영수증 가능하죠?,0
카페모카 프라푸치노 있나요?,3
그럼 아이스 카페모카 얼음 많이 넣어서 주세요,11
베이글은 어떤 종류가 있나요?,0
블루베리 베이글 데워 주실 수 있나요?,11
음료는 나가서 마실 거라 플라스틱 용기에 주세요,7
망고 주스 되나요?,26
얼음은 빼 주세요,42
가격이 얼마에요?,52
카드 결제되나요?,24
영수증 주세요,4
여기 혹시 아침세트 메뉴 있나요?,47
그럼 지금 5세트 주문할게요,11
빵 종류가 세트 말고도 있으면 같이 주세요,0
한 5개 정도 넣어주세요,0
네 다 포장해서 주세요,0
아이스 모카 한잔 주세요,26
아니요 테이크아웃할게요,0
네 많이 주세요,26
애플파이 하나도 같이 포장해주세요,0
포인트 적립해주세요,0
아메리카노 한잔 얼마인가요?,2
아메리카노 한잔 주세요,24
아이스로 부탁드려요,0
제휴카드로 할인 가능한가요,0
네 그럼 할인 적용해주세요,59
아이스 아메리카노 한 잔이요,13
네 매장에서 마시고 갈게요,0
카카오 파이로 계산할게요,67
네 없습니다,31
그냥 버려주세요,4
아메리카노 따뜻한 걸로 주세요,69
샷 추가되나요?,0
네 추가해 주세요,19
화장실 비밀번호가 어떻게 돼요?,40
따뜻한 물 한잔 주세요,82
돌체 라테 하나 주세요,66
네 그리고 두유로 바꿔주세요,0
톨 사이즈로 해주세요,44
네 없어요,0
네 여기요,44
겨울인데 빙수 주문 가능할까요?,4
아 그럼 겨울에만 판매되는 메뉴는 있나요?,42
그럼 과일청 차 2개만 추천 부탁드릴게요,11
혹시 차류도 시원하게 되나요?,8
그럼 영귤차 하나 자몽차 하나씩 테이크아웃할게요,11
주문해도 되죠,0
메뉴판에 있는 것 모두 주문 가능한가요?,42
딸기 라테 주세요,42
라지로 따뜻한 음료 가능한가요?,0
그럼 그렇게 해주세요,65
새로운 음료가 출시되었다고 들었는데요,0
다른 사람들의 평이 어떤가요?,71
아 그러면 새로운 메뉴로 2잔 부탁드려요,71
혹시 음료 말고 다른 디저트 제공도 되나요?,0
당근 케이크로 부탁드릴게요,41
아메리카노 주문 가능한가요?,0
뜨겁지 않게 해주실 수 있나요?,42
여기 밀크티는 얼마에요?,65
그럼 밀크티도 한잔 주세요,24
현금영수증 해주세요,0
카페라테 가격이 얼마에요?,3
네,24
아이스 캐러멜 마키아토는요?,24
아이스 캐러멜 마키아토 하나 주세요,24
네,0
메뉴판에 없는 것도 주문 가능할까요?,4
그러면 캐러멜 라테 한 잔 주세요,42
사이즈 별로 가격이 어떻게 되나요?,0
그럼 라지 사이즈로 주세요,24
아니요 마시고 갈 거예요,28
혹시 메뉴판 주실 수 있나요?,26
혹시 커피 안 들어간 메뉴 있나요?,75
아 여기 있네요,11
그럼 녹차라테 하나 주세요,11
아니요 뜨거운 걸로 주세요,0
당근 케이크 지금 남아있나요?,0
아이스 카페라테 한 잔이랑 당근 케이크 하나 주세요,11
포인트 적립 가능한가요?,0
삼성 파이로 결제 가능하죠?,2
당근 케이크는 따로 결제할 수 있나요?,31
레귤러 사이즈 아메리카노와 베이글 하나 주세요,83
어디서 온 커피가 있나요?,0
그럼 콜롬비아 하나 주세요,11
무엇을요?,60
네 데워주세요,11
여기는 커피만 파나요?,7
차 종류는 어떤 게 있나요?,11
레몬티는 단 음료인가요?,11
그럼 아이스로는 되나요?,11
아이스 레몬 티로 세 잔 포장해주세요,65
블루베리 치즈케이크 주세요,0
아니요 포장해주세요,0
27개 주세요,26
아니요 현금영수증 해주세요,0
쿠폰도 찍어주세요,3
라테 아이스로 주세요,2
3번 펌핑해주세요,0
케이크는 어떤 종류가 있나요?,0
당근 케이크 얼마에요?,11
커피랑 같이 주세요,24
달콤한 커피는 어떤 종류가 있죠?,0
